,direccion,latitud,localizacion,longitud,comuna,barrio
0,Cr 57 Cl 50,6.253584,Sena,-75.575091,LA CANDELARIA,LA CANDELARIA
1,Cr 48 Cl 20,6.225478,Clinica Clofan,-75.57513,EL POBLADO,VILLA CARLOTA
2,Cr 38 Cl 9 Sur,6.19438,Cent C. Santa Fe,-75.57274,EL POBLADO,EL POBLADO
3,Cr 48 Cl 16 Sur,6.190693,Ford Las Vegas,-75.580325,EL POBLADO,SANTA MARIA DE LOS ANGELES
4,Cr 49 Cl 17 Sur,6.188816,Tugó,-75.582979,EL POBLADO,SANTA MARIA DE LOS ANGELES
5,Cr 47 Cl 58,6.25482,Villa Nueva,-75.562365,LA CANDELARIA,VILLA NUEVA
6,Tv 39B Cl 70,6.239405,Glorieta Bulerías,-75.590206,LAURELES,LAURELES
7,Cr 43A Cl 14,6.214372,Castropol,-75.569991,EL POBLADO,CASTROPOL
8,Cr 22 Cl 16,6.217059,Chuscalito,-75.55388,EL POBLADO,ALTOS DEL POBLADO
9,Cr 42 Cl 31A,6.233048,Angus Brangus,-75.566826,LA CANDELARIA,SAN DIEGO
10,Cr 64C Cl 58,6.262724,Universidad Nacional,-75.575095,ROBLEDO,UNIVERSIDAD NACIONAL
11,Cr 72B Cl 73,6.273433,Pilarica,-75.583475,ROBLEDO,LA PILARICA
12,Cr 65 Cl 97,6.291327,EPS Sura Castilla,-75.569573,CASTILLA,CASTILLA
13,Cr 64C Cl 102E,6.29636,Belalcázar,-75.567143,CASTILLA,BELALCAZAR
14,Cr 52 Cl 3 Sur,6.205368,Cristo Rey,-75.58671,GUAYABAL,CRISTO REY
15,Cr 62 Cl 49,6.252721,Bomberos Liberta,-75.577557,LA CANDELARIA,CORAZON DE JESUS
16,Cr 59 Cl 44,6.247047,Barrio Triste,-75.577607,LA CANDELARIA,CORAZON DE JESUS
17,Cl 12 Sur Cr 48B,6.194969,Deprimido Glorieta Aguacatala,-75.580425,EL POBLADO,LA AGUACATALA
18,Cr 50 Cl 7 Sur,6.201016,Colcafé,-75.580197,GUAYABAL,GUAYABAL
19,Cr 50 Cl 25,6.22679,Postobón,-75.57653,GUAYABAL,SANTA FE
20,Cr 65 Cl 55,6.258761,Carlos E. Restrepo,-75.57546,LAURELES,EL ESTADIO
21,Cr 49 Cl 7 Sur,6.19725708,Aguacatala,-75.58036692,EL POBLADO,LA AGUACATALA
22,Cr 50FF Cl 8,6.20078756,Sur Vivero,-75.58449215,GUAYABAL,GUAYABAL
23,Cr 52 Cl 8S,6.20209415,Boca del Caribe,-75.58805413,GUAYABAL,GUAYABAL
24,Tv 7A Dg 29D,6.20453667,Trv Inferior con Tesoro,-75.56054003,EL POBLADO,EL TESORO
25,Cr 49 Cl 7,6.20897103,Inem,-75.57831503,EL POBLADO,EL POBLADO
26,Cr 50 Cl 4,6.20997896,Coltabaco,-75.57896412,GUAYABAL,CAMPO AMOR
27,Cl 16 Cr 30,6.21526121,Restaurante Asia,-75.56263483,EL POBLADO,LAS LOMAS # 1
28,Cl 10 Cr 50,6.21364001,Puente de La 10 sobre Av. Regional,-75.57918943,EL POBLADO,EL POBLADO
29,Cr 50 Cl 25,6.21656244,Autopista Sur Sentido N-S - Leonisa 14 y 10,-75.57803608,GUAYABAL,SANTA FE
30,Cr 43 Cl 14,6.21737836,High Light,-75.57730651,EL POBLADO,CASTROPOL
31,Cr 70 Cl14,6.22278053,Aeroparque,-75.5919782,GUAYABAL,AEROPARQUE JUAN PABLO II
32,Cr 48 Cl 18A,6.22290318,Av Industriales - Ciudad del Río,-75.57525731,EL POBLADO,VILLA CARLOTA
33,Cr 38 Cl 18,6.22809198,Av Las Palmas - Urb. Punta Piedra,-75.56670106,LA CANDELARIA,SAN DIEGO
34,Cr 49 Cl 30,6.23055571,Bancolombia,-75.57538069,SAN JAVIER,EL SOCORRO
35,Cr 81 Cl 30,6.23100366,Av 80,-75.60208476,BELEN,LA PALMA
36,Cl 37 Cr 50,6.23808014,Frente AKT,-75.57249463,LA CANDELARIA,BARRIO COLON
37,Cl 34 Cr 66B,6.23989857,Éxito Unicentro,-75.58744526,LAURELES,LOS CONQUISTADORES
38,Cr 37 Cl 47,6.24207428,Intersec Bomberos,-75.5603335,LA CANDELARIA,BOMBONA # 1
39,Cr 63A Cl 38,6.24137038,Conquistadores,-75.57851351,LAURELES,LOS CONQUISTADORES
40,Cr 63D 42C,6.2471669,Av Bolivariana - Deprimido Músico,-75.58201647,LAURELES,EL ESTADIO
41,Cr 46 Cl 52,6.24914528,Playa x Oriental,-75.56475378,LA CANDELARIA,LA CANDELARIA
42,Cr 63 Cl 48,6.2527634,Suramericana,-75.57866371,LAURELES,SURAMERICANA
43,Cr 62 Cl 58,6.25990091,Horacio Toro,-75.57345486,LA CANDELARIA,EL CHAGUALO
44,Cl 54 Cr 70,6.26106871,La Iguaná,-75.58473623,LAURELES,CARLOS E. RESTREPO
45,Cr 63 Cl 77,6.27608992,Puente del Mico,-75.57019866,ARANJUEZ,MORAVIA
46,Cr 64C Cl 78,6.27864941,Terminal del Norte,-75.57220495,CASTILLA,OLEODUCTO
47,Cr 63 Cl 94A,6.28694097,Av.Regional paralela Tricentenario Qda. Minitas,-75.56666351,CASTILLA,TRICENTENARIO
48,Cr 64C Cl 97,6.29207048,Autopista Norte - Parque Juanes,-75.56842304,CASTILLA,CASTILLA
49,Cr 64C Cl 104,6.30095369,Autopista Norte - Zenu,-75.56421197,CASTILLA,BOYACA
50,Cr 64AA Cl 113A,6.30947951,Autopista Norte - Solla,-75.55986143,CASTILLA,LAS BRISAS
51,Cr 80 Cl 80,6.284234,CAI López de Mesa,-75.583995,ROBLEDO,EL DIAMANTE
52,Cl 10A 34,6.20893904,Hotel 10,-75.56476987,EL POBLADO,LA FLORIDA
53,Cr 64C Cl 104,6.30341708,Autopista Norte - Deprimido Feria de Ganado,-75.56165851,CASTILLA,BELALCAZAR
54,Cr 43C Cl 4S,6.201377,Carulla Oviedo,-75.575314,EL POBLADO,LA AGUACATALA
55,Cr 64C Cl 67,6.26819811,Coca-Cola,-75.57443119,CASTILLA,CARIBE
56,Cr 52 Cl 20,6.221762,Zoológico,-75.579972,GUAYABAL,SANTA FE
57,Cr 64C Cl 88A,6.283733,Tanques Ecopetrol,-75.571036,CASTILLA,OLEODUCTO
58,Cr 48 Cl 7,6.20879505,Av Las Vegas - Icollantas,-75.57667351,EL POBLADO,PATIO BONITO
60,Cr 65 Tv 78,6.27566868,Castipán,-75.57349241,CASTILLA,PROGRESO
61,Cr 62 Cl 55,6.257571,Minorista,-75.574856,LA CANDELARIA,SAN BENITO
62,Cr 43A Cl 12 Sur,6.19274528,Virgen Aguacatala,-75.57630873,EL POBLADO,LA AGUACATALA
63,Cr 52 Cl14,6.21903155,Centro Empresarial Olaya,-75.58049834,GUAYABAL,SANTA FE
64,Cr 57 Cl 58A,6.25804522,Fatelares,-75.57067609,LA CANDELARIA,EL CHAGUALO
65,Cr 62 Cl 40,6.23953197,Glorieta Exposiciones,-75.57537977,LA CANDELARIA,PERPETUO SOCORRO
66,Cr 63A Cl 38,6.24913212,Estaciom Cisneros,-75.57526762,LA CANDELARIA,CORAZON DE JESUS
67,Cr 63A Cl 103,6.29541048,Quebrada Tinajas,-75.56226875,CASTILLA,HECTOR ABAD GOMEZ
69,Cr 65 Cl 71,6.270738,La Florida,-75.577733,CASTILLA,PROGRESO
70,Cr 108BB Cl 62D,6.276615,Túnel de Occidente,-75.619508,ROBLEDO,SANTA MARGARITA
71,Cr 89 Cl 44,6.252148,Everest,-75.607371,LA AMERICA,EL DANUBIO
72,Cr 83C Cl 33,6.238633,El Castillo,-75.608014,BELEN,NUEVA VILLA DE ABURRA
